DealerID,NewUsed,Year,Make,Model,ExteriorColor,InteriorColor,EngineCylinders,Trim,SellingPrice,Miles,MPG(Miles per gallon),FuelType,website Link for more details,Car Features
2013,USED,2021,Ram,1500,Bright White Clearcoat,Black,6,"Big Horn 4x4 Crew Cab 5'7"" Box",42812,27089,22,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2022,Ram,1500,Granite Crystal Metallic Clearcoat,Black,6,"Big Horn 4x4 Crew Cab 5'7"" Box",51392,77,24,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2022,Jeep,Grand Cherokee 4xe,Bright White Clearcoat,Global Black,4,Summit 4x4,72577,13,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2022,Chrysler,Pacifica,Bright White Clearcoat,Black,6,Hybrid Touring L FWD,46615,12,25,Hybrid,https://www.pinebeltcjdr.com/,"Big family car, long distance travel"
2013,NEW,2022,Jeep,Grand Cherokee 4xe,Bright White Clearcoat,Global Black,4,4x4,62862,5,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2022,Ram,1500,Bright White Clearcoat,Black,6,"Big Horn 4x4 Quad Cab 6'4"" Box",50902,10,24,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2022,Jeep,Grand Cherokee 4xe,Hydro Blue Pearlcoat,Global Black,4,Summit Reserve 4x4,77977,0,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2022,Jeep,Grand Cherokee 4xe,Midnight Sky,Global Black,4,Summit Reserve 4x4,77977,97,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2021,Ram,1500,Bright White Clearcoat,Black,6,"Big Horn 4x4 Crew Cab 5'7"" Box",53930,5,22,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2022,Chrysler,Pacifica,Bright White Clearcoat,Black/Alloy/Black,6,Touring L FWD,40245,4597,28,Gasoline,https://www.pinebeltcjdr.com/,"Big family car, long distance travel"
2013,NEW,2022,Chrysler,Pacifica,Bright White Clearcoat,Black,6,Hybrid Touring L FWD,46615,0,25,Hybrid,https://www.pinebeltcjdr.com/,"Big family car, long distance travel"
2013,NEW,2022,Chrysler,Pacifica,Fathom Blue Pearlcoat,Black,6,Hybrid Touring L FWD,47110,5,25,Hybrid,https://www.pinebeltcjdr.com/,"Big family car, long distance travel"
2013,NEW,2022,Chrysler,Pacifica,Ceramic Gray Clearcoat,Black,6,Hybrid Touring L FWD,47110,6,25,Hybrid,https://www.pinebeltcjdr.com/,"Big family car, long distance travel"
